ID,date_time,lat,lon,depth(km),magnitude,origin
18081101,2018-01-20T062028.57,42.9563,13.1083,10.7,ML1.1,3 km W Ussita (MC)
18081241,2018-01-20T063457.5,43.0592,13.0473,10.2,ML0.6,2 km N Pieve Torina (MC)
18081301,2018-01-20T065218.04,42.755,13.2033,9.6,ML1.2,8 km NW Accumoli (RI)
18081471,2018-01-20T073638.75,43.0582,13.0223,9.3,ML1.0,3 km NW Pieve Torina (MC)
18081511,2018-01-20T075027.51,45.55,9.4957,10,ML1.2,1 km NE Inzago (MI)
18081571,2018-01-20T081729.12,37.6968,13.0247,12.2,ML2.0,Santa Margherita di Belice (AG)
18081821,2018-01-20T101858.98,41.7727,15.7865,25.4,ML1.3,6 km S Cagnano Varano (FG)
18081871,2018-01-20T103031.72,43.0082,12.999,8.2,ML1.0,2 km N Monte Cavallo (MC)
18081901,2018-01-20T104505.14,39.2427,16.4827,8.8,ML1.0,11 km NE Parenti (CS)
18082031,2018-01-20T111113.23,43.1008,13.2058,9.9,ML1.2,4 km W Cessapalombo (MC)
18082151,2018-01-20T113835.39,42.6247,13.2212,12.6,ML1.4,5 km E Cittareale (RI)
18082391,2018-01-20T125006.56,43.0558,13.0302,10.1,ML0.8,2 km NW Pieve Torina (MC)
18082431,2018-01-20T125432.98,42.5862,13.2033,13.3,ML1.2,5 km SE Cittareale (RI)
18082471,2018-01-20T125602.38,43.0668,13.0313,9.9,ML1.5,2 km SW Muccia (MC)
18082981,2018-01-20T140908.56,42.9458,13.1517,8.4,ML1.4,1 km E Ussita (MC)
18083161,2018-01-20T144409.38,42.5518,13.3407,15.5,ML1.5,3 km W Campotosto (AQ)
18083181,2018-01-20T144543.42,42.5778,13.1933,10,ML1.9,5 km SE Cittareale (RI)
18083491,2018-01-20T155721.8,42.8165,13.0933,8.9,ML1.0,3 km N Norcia (PG)
18083511,2018-01-20T160647.42,42.7313,13.1962,10,ML1.4,6 km NW Accumoli (RI)
18083601,2018-01-20T162450.45,43.0577,13.0452,8.3,ML1.4,1 km NW Pieve Torina (MC)
18083701,2018-01-20T164052.58,42.8748,13.1615,8.8,ML1.7,2 km S Castelsantangelo sul Nera (MC)
18083841,2018-01-20T170651.72,38.4105,15.5141,34.2,ML2.2,Tirreno Meridionale (MARE)
18083881,2018-01-20T170724.12,42.6567,13.2567,12.4,ML1.2,4 km NW Amatrice (RI)
18084131,2018-01-20T175608.45,43.1002,13.209,9.3,ML1.4,4 km W Cessapalombo (MC)
18084251,2018-01-20T183329.07,43.0658,13.0358,10.2,ML1.1,2 km SW Muccia (MC)
